Publication Number,Title,Abstract,Claims
US8117450,System and method for secure data transmission,"A system for secure data transmission comprises a processor, a memory coupled to the processor, and a string generator stored in the memory and executable by the processor. The string generator is adapted to generate a character string. The system also comprises a hashing engine stored in the memory and executable by the processor. The hashing engine is adapted to generate a hash key using the character string and a private key. The system further comprises an encryption engine stored in the memory and executable by the processor. The encryption engine is adapted to encrypt the data using the hash key. The processor is adapted to transmit the encrypted data, an identification key related to the private key, and the character string to a recipient.","1. A method for secure data transmission, comprising: 
generating a character string at a sender for each data packet associated with the secure data transmission; 
generating a hash key using the character string and a private key, wherein the hash key is different for each data packet associated with the secure data transmission; 
encrypting a data packet associated with the secure data transmission using the hash key; and 
transmitting an identification key associated with the sender, the character string, and the encrypted data packet from the sender to a recipient."
US8122258,System and method for secure operating system boot,"There is provided a method for operating a basic input/output system (BIOS) of a pay-as-you go computer system. In one example embodiment, the method includes periodically resetting a watchdog timer, wherein failure to reset the watchdog timer indicates a security violation. In another example embodiment, the method also includes comparing a first time count representing motherboard use time with a second time count representing hard drive use time to determine if a security violation has occurred. There is also provided a pay-as-you-go computer system having a BIOS configured to determine if a hard drive is password protected. In an example embodiment, the BIOS is configured to calculate a password to unlock the hard drive if the hard drive is password protected.","1. A method for operating a basic input/output system (BIOS) of a pay-as-you-go computer system comprising: 
activating a BIOS to boot the computer system, the BIOS being configured to start a watchdog timer; and 
booting an operating system, wherein the operating system has metering software configured to periodically reset the watchdog timer, wherein booting the operating system comprises:  
performing a checksum on boot information read from a hard drive to obtain a first checksum; 
comparing the first checksum with a second checksum stored with the BIOS; and 
issuing a security error if the first and second checksums do not match."
US8126156,Calibrating at least one system microphone,"A system including at least one system microphone, a processor connected to computer readable memory and the at least one system microphone, a measurement microphone connected to the processor, at least one audio speaker, a signal generator connected to the processor and configured to produce signals from the at least one audio speaker for both the measurement microphone and the at least one system microphone to measure the response of the at least one audio speaker, and a device manager application executable from the computer readable memory and configured to perform the steps of calibrating the at least one audio speaker with the measurement microphone using the signals of the signal generator based on the response of the at least one audio speaker thereby creating at least one calibrated audio speaker and calibrating the at least one system microphone with the at least one calibrated audio speaker using the signals of the signal generator.","1. A system, comprising: 
at least one system microphone; 
a processor connected to computer readable memory and the at least one system microphone; 
a measurement microphone connected to the processor; 
at least one audio speaker; 
a signal generator connected to the processor and configured to produce signals from the at least one audio speaker for both the measurement microphone and the at least one system microphone to measure the response of the at least one audio speaker; and 
a device manager application executable from the computer readable memory and configured to perform the steps of: 
calibrating the at least one audio speaker with the measurement microphone using the signals of the signal generator based on the response of the at least one audio speaker thereby creating at least one calibrated audio speaker; and 
calibrating the at least one system microphone with the at least one calibrated audio speaker using the signals of the signal generator."
US8130195,Cloning hand drawn images,"A method for cloning hand drawn images includes identifying, within an environment, a position of a wand with respect to each of a first plurality of user selected physical points. A virtual plane identified by the first plurality of points is defined. The virtual plane corresponds to a first marking surface. An electronic page is associated with the first virtual plane. A motion of the wand is tracked. The motion corresponds to a use of the wand to draw a first mark on the first marking surface. A path traced across the first virtual plane is identified. The path is defined by the tracked motion. The electronic page is updated to include a digital image representative of the path. The digital image is a clone of the mark.","1. A method for cloning hand drawn images comprising: 
identifying, within an environment, a position of a wand with respect to each of a first plurality of user selected physical points; 
defining a first virtual plane identified by the first plurality of points, the first virtual plane corresponding to a first marking surface; 
associating a first electronic page with the first virtual plane; 
tracking a first motion of the wand, the first motion corresponding to a use of the wand to draw a first mark on the first marking surface; 
identifying a first path traced across the first virtual plane, the first path defined by the tracked first motion; and 
updating the first electronic page to include a first digital image representative of the first path, the first digital image being a clone of the first mark."
US8131903,Multi-channel memory connection system and method,"A multi-channel memory connection system comprises a circuit board comprising a plurality of memory connectors, at least one of the plurality of memory connectors configured to receive either a memory module or a memory riser, the at least one memory connector having at least two memory channels connected thereto through the circuit board.","1. A multi-channel memory connection system, comprising: 
a circuit board comprising a plurality of memory connectors configured to receive either a memory module or a memory riser, 
wherein at least one memory connector includes a primary port connected to at least one bi-directional memory channel on the circuit board and a secondary port connected to the at least one bi-directional memory channel on the circuit board, 
and the memory riser includes a bi-directional memory channel connectable to the primary port and another bi-directional memory channel connectable to the secondary port, wherein the bi-directional memory channel and the another bi-directional memory channel are not connected and are operable to simultaneously send data to a memory controller, and 
when the memory riser is connected to the at least one memory connector, the at least one bi-directional memory channel on the circuit board operates as two different bi-directional memory channels comprising a first bi-directional memory channel connected to the bi-directional memory channel in the memory riser via the primary port and a second bi-directional memory channel connected to the another bi-directional memory channel in the memory riser via the secondary port, 
and when the memory module is connected to the at least one memory connector, the at least one bi-directional memory channel on the circuit board operates as a single bi-directional memory channel at the at least one connector, wherein the single bi-directional memory channel is connected to the memory module via the primary port and the secondary port."
US8134726,Bi-directional communication between printer and client,"A method of enabling bi-directional communication in a point and print (PnP) architecture between a printer and a client includes initiating a PnP installation to receive a printer component at the client from a printer server. The printer component is received at the client from the printer server and a spooler process is enabled on the client to load the printer components on the client. A new thread, which executes in the context of the spooler process such that the new thread inherits the system access token from the spooler process, is used to copy the printer component to the system folder on the client. From the new thread, the printer component is registered and executed from the system folder in an elevated system context.","1. A method of enabling bi-directional communication in a point and print (PnP) architecture between a printer and a client, wherein a user of the client has restricted user access rights preventing the user from directly writing data to a system folder on the client, said method comprising: 
initiating a PnP installation to receive a printer driver and a bi-directional system service at a spooler of the client from a printer server, wherein the spooler coordinates printing communication from the client to the printer; 
enabling the spooler to run a first thread to load the printer driver from the spooler to a non-system folder on the client, wherein the first thread runs with a system access token; 
launching a second thread, which executes in a context of the first thread of the spooler such that the second thread inherits the system access token from the first thread; 
copying the bi-directional system service from the spooler to the system folder on the client with the second thread; 
registering the bi-directional system service from the system folder in an elevated system context with the second thread; and 
using the bi-directional system service to engage in bi-directional communication for the user between the client and the printer."
US8135864,Mechanism for sharing web based imaging information from a unix terminal computing environment,"The method of the present invention is capable of providing distributed imaging capability to a user of a computing device within a UNIX printing environment. Document creation, manipulation, editing, and output are provided by the present invention. Document design and image data are associated with the originating user. Generic access instructions cause associated document data to be retrieved or stored in accordance with the present invention. Multiple documents and output devices may be employed to accomplish the requesting user's needs. Further, interactive graphical printing configuration and monitoring may be utilized.","1. A method for printing a target image in a printing environment that includes a client machine, the method comprising: 
identifying the target image as data to be accessed in response to an execution by the client machine of at least one generic access instruction that does not identify a location of the target image; 
obtaining first web content by way of said client machine, the first web content containing the generic access instruction for causing the target image to be accessed; and 
obtaining second web content from a printer incorporating a web server by way of said client machine, the second web content comprising instructions for generating a print dialog box with at least one selectable printing option of the printer and instructions for causing the client machine to transmit a print job generated for the target image to be printed according to the selectable printing option."
US8140693,Method and system for allocating on-demand resources using a connection manager,"A method and system provide a user-friendly mechanism that allows the user to access remote on-demand resources through a network only when the resources are required. These on-demand resources are accessed using a connection manager that is enabled on a client when, for example, the user moves a mouse cursor to an active edge of the client computer screen. Once enabled, the connection manager allows the user access to any on-demand resources to which the user has authorization. These on-demand resources can be freed from the user when they are no longer needed, so that these resources can be used by other users.","1. A computer-implemented method for allocating on-demand resources using a connection manager, comprising: 
prompting, by a client computer, a user to input a first credential on the client computer; 
verifying the first credential using authentication information stored on a server computer; 
connecting the user, through a network, to daily resources of the server computer after the user is authenticated; 
upon receiving, at the server computer, an instruction from the client computer to add on-demand resources, activating a connection manager that opens a window at the client computer to allow the user to add the on-demand resources that are not currently accessed by the user, wherein the client computer provides the instruction when a cursor moves to an active edge on a computer screen of the client computer; 
prompting the user to input a second credential associated with the on-demand resources; and 
verifying the second credential associated with the on-demand resources."
US8140718,Status notifications,"A status notification method includes providing a forwarding manager for a status notification. The forwarding manager enables the status notification to be directed to a second target. Following a presentation of the status notification with respect to a first target, the status notification is directed to a second target as at least an indirect result of a utilization of the forwarding manager.","1. A status notification method, comprising: 
sending a status notification to a first target, the status notification including one or more user accessible controls for communicating with a forwarding manager configured to direct the status notification to a second target; and 
following a user's selection of the one or more controls and a resulting utilization of the forwarding manager, directing the status notification to the second target as at least an indirect result of the utilization of the forwarding manager."
US8146812,Imaging method and system for tracking devices,A method and system of tracking devices uses imaging and optionally tags. Tracking is performed when the identification information associated with the devices are initially received and exposed towards a scanning bar in an enclosure. This scanning bar scans at one or more predetermined intervals the one or more devices in the enclosure of hardware. The system for tracking devices includes an enclosure capable of receiving one or more devices positioned to expose identification information related to each device and a scanning bar movably coupled to the enclosure that passes over each of the one or more devices and captures images of the identification information exposed by each of the one or more devices.,"1. A computer implemented method of tracking devices, comprising: 
receiving identification information associated with a device in an enclosure with identification information associated with the device exposed towards a scanning bar; 
scanning with the scanning bar for an actual image of each of the one or more devices in the enclosure at one or more predetermined intervals; 
identifying each of the one or more devices in the enclosure through an application of one or more image processing operations on the actual image of each of the one or more devices; and 
creating a visual map of the one or more devices depicting an accurate visual representation of each device and its respective location in the enclosure."
US8150942,Conveying access to digital content using a physical token,"An exemplary method for conveying access to digital content using a physical token comprises receiving a first identifier, receiving a second identifier, determining whether any of the first and second identifiers is associated with digital content, associating the digital content associated with one of the first and second identifiers with another of the first and second identifiers, and enabling a conveyance of the another of the first and second identifiers as a physical token.","1. A method for creating conveyable physical representations of digital content, comprising: receiving a request to associate an identifier with an item of digital content; obtaining an identifier; determining an address of said digital content; associating said identifier with said address; and generating a physically conveyable representation of said identifier."
US8154756,Printers and printer systems having cellular input/output,"A method includes receiving, with a printer, a cellular communication from a cellular device that provides an indication of a resource that is to be printed by the printer; accessing, with the printer, a network via which the resource can be retrieved; using the indication to retrieve the resource via the network; and printing the resource.","1. A method comprising: 
receiving, with a printer, a cellular phone call from a cellular device that provides an indication of a resource that is to be printed by the printer; 
accessing, with the printer, a network via which the resource can be retrieved; 
using the indication to retrieve the resource via the network; and 
printing the resource."
US8161415,"Method, article, apparatus and computer system for inputting a graphical object","Method, article, apparatus and computer system facilitating the easy and intuitive inputting of a desired graphical object into an electronic system from a large plurality of predetermined graphical objects. In one example embodiment, this is achieved by assigning each of said graphical objects into one of a plurality of groups in accordance with a predetermined similarity criterion, associating respective base shapes to each of said groups, wherein said base shapes having a certain degree of similarity to the objects assigned to the associated group according to said similarity criterion and associating in each of said groups at least one gesture to each of said graphical objects, so that the associated gestures are distinguishable from each other. In order to input the desired graphical object, one of the groups is selected by selecting its base shape and then the desired graphical object is identified by drawing the respective gesture associated thereto.  

La présente invention concerne un procédé, un article, un appareil et un système informatique facilitant la saisie intuitive d'un objet graphique souhaité dans un système électronique à partir d'une pluralité d'objets graphiques prédéterminés. Dans un mode de réalisation, le résultat est obtenu en affectant chacun desdits objets graphiques à l'un des groupes conformément à un critère de similarité prédéterminé. En associant des formes de base respectives à chacun desdits groupes (ces formes de base ayant un certain degré de similarité avec les objets affectés au groupe associé en fonction du critère de similarité) et en associant dans chacun desdits groupes une posture à chacun des objets graphiques, les postures associées peuvent être distinguées les unes des autres. Pour saisir l'objet graphique souhaité, l'un des groupes est sélectionné par un choix de sa forme de base. L'objet graphique souhaité est ensuite identifié par le dessin de la posture respective qui lui est associée.","1. A method for inputting a desired graphical object from a large plurality of predetermined graphical objects, comprising the steps of: 
(i) preparing said graphical objects for gesture-selection, wherein said preparation comprises the steps of: 
(a) assigning each of said graphical objects into one of a plurality of groups in accordance with a predetermined similarity criterion, wherein the number of said groups is much less than the number of said graphical objects; 
(b) associating respective base shapes to each of said groups, wherein said base shapes have a certain degree of similarity to the objects assigned to the associated group according to said similarity criterion; 
(c) associating in each of said groups at least one gesture to each of said graphical objects, so that within any group the associated gestures are distinguishable from each other; 
(d) electronically storing said assignments of said graphical objects to said groups and for each group said association of said objects to said gestures; 
(ii) selecting said desired graphical object comprising the steps of: 
(e) selecting a base shape from the plurality of base shapes by activating a region belonging to the base shape and defining thereby the group to which said desired graphical object is assigned; 
(f) drawing a gesture on a digitizing tablet similar to the gesture associated with said desired graphical object upon selecting the base shape, and wherein the gesture resembles actual shape of said desired graphical object or a feature thereof, wherein said drawn gesture comprises more than one stroke, and after receiving the selection of a base shape, the digitizing tablet:  
(a) receives a stroke; 
(b) waits for a next stroke for a predetermined time interval; 
(c) repeats steps (a) and (b) if there is a next stroke to be received within said predetermined time interval; 
(d) terminates the gesture-reception if no further stroke is made within said predetermined time interval; 
(g) electronically recognizing which of said stored gestures belonging to the defined group is most similar to said drawn gesture; 
(h) identifying the desired graphical object associated with said recognized gesture; and 
(j) generating the identified graphical object in electronic form."
US8166288,Managing requests of operating systems executing in virtual machines,A coordinator in a computer system receives a request from one of a plurality of operating systems (that coexist in the computer system) to invoke a service of a management routine in the computer system. The plurality of operating systems execute in respective virtual machines of the computer system. The coordinator processes the received request to invoke the service of the management routine to prevent a conflict from occurring with respect to at least another one of the plurality of operating systems.,"1. A method of managing requests of a plurality of guest operating systems that coexist in a computer system, comprising: 
receiving, by a coordinator in the computer system, a request from one of the plurality of guest operating systems to invoke a service of an actual basic input/output system (BIOS) routine in the computer system, wherein the plurality of guest operating systems execute in respective virtual machines of the computer system, wherein the virtual machines contain respective virtual BIOS routines, and wherein receiving the request comprises receiving the request of a particular one of the virtual BIOS routines that has been trapped by a virtual machine monitor; and 
managing, by the coordinator, processing of the received request to invoke the service to prevent a conflict from occurring with respect to at least another one of the plurality of guest operating systems."
US8174558,Automatically calibrating a video conference system,"A method of automatically calibrating a video conference environment is disclosed. In an embodiment, the method includes initiating a calibration sequence in the video conferencing system, routing a test signal through the audio and video components of the video conferencing system, measuring a time delay associated with the test signal and utilizing the time delay to calibrate subsequent audio and video signal transmissions by the video conferencing system.","1. A method of automatically calibrating a video conference system wherein the video conference system comprises a plurality of audio and video components, the method comprising: 
initiating a calibration sequence in the video conference system; 
routing a test signal from logic of the video conference system through the audio and video components and back to the logic of the video conference system; 
measuring a first time differential associated with the test signal received by the logic of the video conference system; 
routing a second signal from the audio and video components to the logic of the video conference system; 
measuring a second time differential associated with the second signal received by the logic of the video conference system; 
subtracting the second time differential from the first time differential to determine a third differential; and 
utilizing the time differentials to calibrate subsequent audio and video signal transmissions in the video conference system."
US8174837,Wireless enable/disable locking system,"A wireless enable/disable locking system comprises a locking element configured to physically cooperate with a switch, the switch for enabling/disabling a wireless communication capability of a device, to lock the wireless communication state of the switch to either enabled or disabled.","1. A wireless enable/disable locking system, comprising: 
a switch moveable between a first position and a second position, the switch in the first position to enable wireless communication of an electronic device and the switch in the second position to disable the wireless communication of the electronic device; and 
a locking element moveable between locking element positions to physically cooperate with the switch and to lock the switch to prevent the switch from moving from the second position to the first position."
US8174932,Multimodal object localization,"Various embodiments of the present invention are directed to systems and methods for multimodal object localization using one or more depth sensors and two or more microphones. In one aspect, a method comprises capturing three-dimensional images of a region of space wherein the object is located. The images comprise three-dimensional depth sensor observations. The method collects ambient audio generated by the object, providing acoustic observation regarding the ambient audio time difference of arrival at the audio sensors. The method determines a coordinate location of the object corresponding to the maximum of a joint probability distribution characterizing the probability of the acoustic observations emanating from each coordinate location in the region of space and the probability of each coordinate location in the region of space given depth sensor observations.","1. A method for determining a coordinate location of an object emitting sound using a computing device, the method comprising: 
capturing three-dimensional images of a region of space wherein the object is located using one or more depth sensors, the images comprising three-dimensional depth sensor observations; 
collecting ambient audio generated by the object using two or more acoustic sensors, the ambient audio providing acoustic observation regarding the ambient audio time difference of arrival at the audio sensors; and 
determining a three-dimensional coordinate location of the object using the computing device, wherein the three-dimensional coordinate location corresponds to the maximum of a joint probability distribution characterizing the probability of the acoustic observations emanating from each coordinate location in the region of space and the probability of depth sensor observations corresponding to each coordinate location in the region of space; 
wherein determining the joint probability distribution comprises, for each coordinate location:  
computing a conditional probability of the acoustic observation given an associated coordinate location using the computing device; 
computing a conditional probability of the coordinate location given an associated depth sensor observation using the computing device; and 
computing a product of the conditional probabilities using the computing device."
US8176536,Network systems and methods for providing guest access,"The present disclosure generally pertains to routers for providing guest access to networks. An integrated router in one exemplary embodiment comprises at least one local area network (LAN) interface, memory, and routing logic. The memory is configured to store security data. The routing logic is configured to enable a first LAN and to authenticate a user for accessing the first LAN based on the security data. The routing logic is configured to enable a second LAN in response to user input and to automatically disable the second LAN upon expiration of a specified time period. The routing logic is further configured to route messages communicated between a device of the second LAN and a wide area network (WAN) and to route messages through the first LAN.","1. An integrated router for providing guest access to wide area networks, the integrated router comprising: 
at least one local area network (LAN) interface; 
memory configured to store security data; 
routing logic configured to enable a first LAN and to authenticate a user for accessing the first LAN based on the security data, the routing logic configured to enable a second LAN in response to user input and to automatically disable the second LAN upon expiration of a specified time period, the routing logic configured to route messages through the second LAN and communicated between a device of the second LAN and a wide area network (WAN), and to route messages through the first LAN; and 
a hardware switch, wherein the user input is received via the hardware switch while the router is activated."
US8179417,Video collaboration,A video collaboration method includes examining a video image to locate therein a strip segment containing desired facial features of a second collaborator. The method also includes causing a display of the strip segment in a second frame positioned above a first frame for communicating shared collaboration content on a display device positioned for a first collaborator.,"1. A video collaboration method, comprising: 
examining a video image to locate therein a strip segment containing desired facial features of a second collaborator, wherein the desired facial features include a gaze but not other facial features of the second collaborator; and 
on a display device positioned for a first collaborator, causing a display of the strip segment in a second frame positioned above a first frame for communicating shared collaboration content such that the other facial features are not displayed in the second frame."
US8184869,Digital image enhancement,Methods and systems for enhancing a digital image include analyzing the digital image to determine if the digital image includes a facial component. Facial characteristics of the facial component are determined for each image that does include at least one facial component. The digital image is then modified based on the facial characteristics.,"1. A method of enhancing a digital image, the method being performed by one or more processors and comprising: 
analyzing the digital image to determine whether the digital image includes a facial component, the digital image including a background; 
determining facial characteristics of the facial component by (i) analyzing facial features to detect expression, and (ii) identifying an emotion based on the expression; and 
modifying the digital image based on the facial characteristics to reflect the identified emotion, wherein modifying the digital image includes altering the background."
US8185147,Wireless communication system integrated into a computer display,"An electronic device has a display in which the casing of the display includes a plurality of recessed cavities into which radio and antenna modules can be inserted to provide the electronic device with a wireless communication capability. The display can have cavities for one or more radios and one or more antenna modules. A radio electrically connects to one or more antenna modules via conductor(s) contained within the display and connects to the host electronic device via a serial bus (e.g., USB). Accordingly, the display can have a plurality of radio/antenna combinations thereby concurrently providing the electronic device with multiple wireless communication capabilities.","1. A computer system, comprising: 
a processor; 
a display coupled to said processor, said display having an external casing in which a plurality of externally exposed recessed cavities are provided to receive a plurality of radio modules and a plurality of antenna modules, each radio module connected to a least one antenna module; 
wherein at least one radio module is electrically connected to a plurality of antenna modules via a conductor contained within said casing."
US8185766,Hierarchical power management with hot mode,"Methods, systems, apparatuses and program products are disclosed for providing power/energy control. HPM (Hierarchical Power Management) systems provide for and improve on the power management support beyond what is available in current PC notebooks and desktops.","1. A method of managing a computing platform comprising: 
maintaining a first PMFSM (power management finite state machine); 
virtualizing a first power state within the first PMFSM into a first operating system running in an unprivileged hypervisor domain; 
maintaining a second PMFSM running in a privileged hypervisor domain; and 
providing a second power state within the second PMFSM into a second operating system running in the privileged hypervisor domain, 
wherein a PMFSM selected from the first and the second PMFSM provides a power management policy to provide mutually different first and second power states."
US8185941,System and method of tamper-resistant control,"A method of tamper-resistant control comprising reading a flag of an electronic device with firmware, the flag indicating a provision enable/disable state of the electronic device and provisioning a management processor of the electronic device to facilitate communications between the management processor and a server in response to reading the flag indicating a provision enable/disable state.","1. A method of tamper-resistant control, comprising: 
reading at least one flag of an electronic device with firmware, the flag indicating a provisioning enable/disable state that indicates one of an enable state in which a management processor of the electronic device is enabled to communicate with a remote server and a disable state in which the management processor is disabled from communicating with the remote server; 
provisioning the management processor of the electronic device based on communications between the management processor and the remote server in response to reading the flag indicating the enable state; 
configuring the management processor to enable the remote server to remotely access and control the electronic device via a console at the remote server, 
reading an input/output port of the electronic device to locate encryption data; and 
transmitting the encryption data from the electronic device to the remote server to authenticate the remote server to communicate with the electronic device."
US8189220,Remote printing system using federated identity web services,"A data processing system comprises a print-enabled identity server. The print-enabled identity server comprises an identity provider operative in a federated identity system that authenticates a user, and stores profile information and payment information. The print-enabled identity server further comprises a Federated Print Search Responder (FPSR) and a discovery service hosted by the identity provider that operate in combination to answer client print-search queries for finding at least one remote printer according to client-designated criteria. An identity-based payment service manages user payment transactions.","1. A data processing system comprising: 
a print-enabled identity server comprising: 
an identity provider operative in a federated identity system that authenticates a user, and stores profile information and payment information; 
a Federated Print Search Responder (FPSR) and a discovery service hosted by the identity provider that operate in combination to answer a client's print-search 
queries for finding at least one remote printer according to client-designated criteria; and 
an identity-based payment service that manages user payment transactions configured to send a billing request to the user's payment service."
US8195425,Systems and methods for estimating distances using multi-resolution functions,"Systems and methods for estimating the distance between a start point and a true endpoint in which at least two functions of differing resolutions are used. The method includes measuring a coarse distance between the start point and an intermediate point using the lower resolution function, the intermediate point comprising a point which is substantially within one unit of the higher resolution function away from the true endpoint. Next, a vernier distance is measured from the intermediate point to a vernier endpoint using the higher resolution function, the vernier endpoint being within a narrow, vernier error window of the true endpoint. Subsequently, the coarse and vernier distances are summed to obtain the estimated distance.  

La présente invention concerne des systèmes et des procédés pour évaluer la distance entre un point de départ et un point final réel, selon lesquels au moins deux fonctions de résolutions différentes sont utilisées. Le procédé consiste à mesurer une distance grossière entre le point de départ et un point intermédiaire au moyen de la fonction à faible résolution, le point intermédiaire comprenant un point qui se trouve essentiellement dans une unité de la fonction à haute résolution, à distance du point final réel. Ensuite, une distance de vernier est mesurée à partir du point intermédiaire jusqu'à un point final de vernier, au moyen de la fonction à haute résolution, le point final de vernier se trouvant dans une fenêtre d'erreur de vernier étroite du point final réel, puis la distance grossière et la distance de vernier sont additionnées afin d'obtenir la distance évaluée.","1. A method for estimating the distance between a start point and a true end point using multi-resolution functions, the multi-resolution functions including at least two functions, one being of relatively higher resolution and one being of relatively lower resolution, the relatively higher resolution function comprising a higher frequency signal with a shorter wavelength, and the relatively lower resolution function comprising a lower frequency signal with longer wavelength, the method comprising: 
measuring, using the longer wavelength, a coarse distance from the start point to an intermediate point, the intermediate point comprising a point that is located between the start point and the true endpoint; 
measuring, using the shorter wavelength, a vernier distance from the intermediate point to a vernier endpoint, the vernier endpoint located within a vernier error window located around the true endpoint; and 
summing the coarse distance with the vernier distance to obtain an estimated distance between the start point and the true endpoint."
US8195929,Controlling file systems sharing among two or more operating system,"Methods, systems, apparatuses and program products are disclosed for managing, activating and controlling file systems sharing among two or more O/S (Operating Systems) and/or the like within a computing apparatus or within a single computer operational session or context. Provision is made for journaling and resynchronization of file systems even where at least one of the O/Ses has no features for taking account of the presence of the other O/S.","1. A method of operating a computer comprising: 
loading a first O/S (operating system) into a memory; 
loading a second O/S (operating system) into the memory; 
mounting a first FS (file system) controlled by the second O/S; 
mounting the first FS for read-only access by the first O/S; 
redirecting a plurality of data written from an application program controlled by the first O/S to a journal controlled by the first O/S; 
resuming execution of the second O/S and applying the journal to the first FS in a context of the second O/S; and 
deferring a transaction for the first FS in the context of the second O/S pending completion of applying the journal to the first FS in the context of the second O/S."
US8199825,Reducing the resolution of media data,"Input data at a first resolution are received from a source. The input data are compressed. The input data can be downsampled to generate compressed downsampled data at a reduced resolution. The compressed downsampled data can be used to generate a frame at the reduced resolution. When the frame is needed as a reference for another frame, the compressed downsampled data can be decoded to generate decompressed downsampled data at the reduced resolution. Motion compensation is performed on the decompressed downsampled data at the second resolution to generate motion compensated decompressed downsampled data used as a reference for a second frame. Thus, by performing motion compensation on downsampled data directly, data processing operations such as transcoding can be accomplished quickly and effectively while saving computing resources.","1. A method for reducing the resolution of media data, said method comprising: 
receiving input data comprised of compressed data for a frame of a plurality of frames at a hardware transcoder, wherein said frame is at a first resolution, wherein each frame of said plurality of frames comprises a plurality of macroblocks, wherein a macroblock is characterized as a first coding type if said macroblock is dependent on a macroblock from another frame and is otherwise characterized as a second coding type; 
downsampling said input data to generate compressed downsampled data at a second resolution that is reduced relative to said first resolution at said hardware transcoder, said compressed downsampled data used to generate a frame at said second resolution; 
selecting data processing functions according to a single first number of macroblocks of said frame characterized as said first coding type and a single second number of macroblocks characterized as said second coding type, wherein said single first number of macroblocks of said frame characterized as said first coding type is greater than said single second number of macroblocks characterized as said second coding type; 
decoding said compressed downsampled data to generate decompressed downsampled data at said second resolution at said hardware transcoder; and 
performing motion compensation on said decompressed downsampled data at said second resolution to generate motion compensated decompressed downsampled data used as a reference for a second frame at said hardware transcoder."
US8200747,Session handoff of segmented media data,"A method and system thereof for handing off a media session are described. In one embodiment, a first media segment is forwarded to a client node. The first media segment includes a portion of an item of media content stored in lieu of storing the item of media content in its entirety. The item of media content is segmented according to segmentation characteristics. Handoff information used for transferring the media session to another server node is specified. The handoff of the media session to the other server node occurs when the forwarding of the first media segment is completed, such that the handoff occurs between media segments.","1. A method of handing off a media session, said method comprising: 
forwarding a first media segment from a first server node to a client node, said first media segment comprising a first portion of an encoded item of media content stored at said first server node in lieu of storing said item of media content in its entirety at said first server node; and 
said first server node specifying handoff information used for transferring said media session to a second server node, wherein as part of said media session said second server forwards a second media segment comprising a second portion of said item of media content, wherein said second server does not comprise said first portion of said media segment and said first server does not comprise said second portion of said media segment, and wherein handoff of said media session to said second server node occurs between said first and second media segments."
